                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6411,                 6.3365,                 1.3014,                0.24319,                0.33333,                0.15837,                 0.0992,                 1.3821,                 3.9394,                 1.1417,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.8271,                 9.5207,                 1.3936,                0.29708,                0.33333,                0.16498,                 0.1029,                 1.3867,                 4.0156,                 1.1366,               9.01e-05,               9.01e-05,               9.01e-05
                      3,                 1.4753,                 6.9911,                 1.2036,                0.38746,                0.33333,                0.21094,                0.16321,                 1.2373,                 6.5075,                 1.1364,             0.00012832,             0.00012832,             0.00012832
                      4,                 1.5308,                 4.4663,                 1.2749,                0.78084,                0.89203,                0.88245,                0.43647,                 1.3797,                 3.6621,                 1.1432,             0.00015466,             0.00015466,             0.00015466
                      5,                 1.9312,                  4.257,                 1.1144,                0.75656,                0.58333,                0.47618,                0.16428,                 1.6744,                 8.1609,                 1.2655,             0.00016912,             0.00016912,             0.00016912
                      6,                 1.4963,                 3.9034,                 1.1386,                 0.7991,                0.66327,                0.57469,                0.25241,                  1.455,                 4.4714,                  1.108,              0.0001717,              0.0001717,              0.0001717
                      7,                 1.3717,                 2.4069,                 1.2981,                0.84024,                0.91667,                0.89686,                0.53554,                 1.2749,                 2.1772,                 1.0592,              0.0001624,              0.0001624,              0.0001624
                      8,                 1.5573,                 2.1786,                 1.2059,                0.84056,                0.91667,                 0.8974,                0.54572,                 1.3214,                 1.9986,                  1.102,             0.00014122,             0.00014122,             0.00014122
                      9,                 1.2366,                 1.7988,                  1.053,                0.90711,                0.91667,                 0.9097,                0.52149,                 1.3557,                 2.1567,                 1.1293,             0.00010816,             0.00010816,             0.00010816
                     10,                 1.4772,                 1.6332,                  1.231,                      1,                0.90929,                0.91607,                0.52641,                 1.3624,                 2.1008,                 1.1342,              6.322e-05,              6.322e-05,              6.322e-05
